piezo,Dopants,Dopants fr,Fabrication Method,d33,D33 (pC/N),ref,Eff_Dielectric,Eff_Thermal,Eff_Youngs,Piezo_Base,Gamma_TE,Chi_Mech,S_imp,Delta_Beta,Fourier_sin_phi,Fourier_cos_phi
PVDF-TrFe,PVDF,0.0,,4.32,4.32±1.0,,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
PVDF-TrFe,PVDF,0.0,,30.0,30,,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
PVDF,PVDF,12.0,,12.0,12,https://doi.org/10.1016/j.cjph.2019.10.022,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,240000000.0,0.0,0.6845471059286886,0.7289686274214116
PVDF/ZrO2,ZrO2,12.2,DFT,12.2,12.2,https://doi.org/10.1016/j.cjph.2019.10.022,11.840017875063493,0.2604292789119293,2546847032.7820234,3.512,3.083487317507139,1.2734235163910117,34160000000.0,0.2283245654627501,0.6936533058128049,0.7203090248879069
PVDF/2ZrO2,ZrO2,17.0,DFT,17.0,17,https://doi.org/10.1016/j.cjph.2019.10.022,12.627361190562347,0.2876790829571733,2805316517.028586,3.32,3.6326276874699763,1.402658258514293,47600000000.0,0.2862925340256367,0.8763066800438637,0.48175367410171516
PVDF/3ZrO2,ZrO2,13.9,DFT,13.9,13.9,https://doi.org/10.1016/j.cjph.2019.10.022,12.114485323077083,0.26982975147928656,2635146571.124099,3.444,3.268848564025354,1.3175732855620494,38920000000.0,0.25046277600743205,0.7664930068093498,0.6422526531765843
PVDF/4.1%vol,PZT,4.1,Electro Spinning,11.82,11.82,https://doi.org/10.1016/j.ceramint.2020.03.210,11.2497331819219,0.21577934559603631,2162547219.270028,4.163663934426229,2.427460064125123,1.081273609635014,3366099999.9999995,0.09267634179429274,0.2547707256833821,0.9670014877624351
PVDF/9.6%vol,PZT,9.6,Electro Spinning,14.89,14.89,https://doi.org/10.1016/j.ceramint.2020.03.210,13.099406742870876,0.2382978721819828,2402542059.6822047,4.383213114754098,3.1215607536724477,1.2012710298411025,7881600000.0,0.19060830409692958,0.5672689491267565,0.8235325976284275
PVDF/17%vol,PZT,17.0,Electro Spinning,17.09,17.09,https://doi.org/10.1016/j.ceramint.2020.03.210,15.963446988301108,0.271328671138931,2772782085.9677296,4.678606557377049,4.33134085813251,1.3863910429838648,13957000000.000002,0.2862925340256367,0.8763066800438637,0.48175367410171516
PVDF/39%vol,PZT,39.0,Electro Spinning,20.12,20.12,https://doi.org/10.1016/j.ceramint.2020.03.210,28.419103055935416,0.3933884294269517,4363859927.513133,5.556803278688525,11.179746316897116,2.1819299637565663,32019000000.0,0.42886296420674325,0.6374239897486899,-0.7705132427757891
PVDF/37%vol,PZT,37.0,Electro Spinning,22.93,22.93,https://doi.org/10.1016/j.ceramint.2020.03.210,26.94113120428762,0.38048780456870906,4176670393.5587234,5.476967213114754,10.250771864516937,2.0883351967793615,30377000000.0,0.4213814168431862,0.7289686274214114,-0.6845471059286887
Pure,PVDF,0.0,Solution Casting,7.43,7.43,https://doi.org/10.1016/j.jallcom.2021.160829,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
TiO2-2 wt%/PVDF,TiO2,2.0,Solution Casting,8.21,8.21,https://doi.org/10.1016/j.jallcom.2021.160829,10.468749999996339,0.20437205293144872,2079367279.687625,3.92,2.1395199291253557,1.0396836398438125,2900000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
TiO2-5 wt%/PVDF,TiO2,5.0,Solution Casting,14.86,14.86,https://doi.org/10.1016/j.jallcom.2021.160829,11.1999999999904,0.2110509206814183,2204504824.2797914,3.8,2.363770311629859,1.1022524121398958,7250000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
TiO2-8 wt%/PVDF,TiO2,8.0,Solution Casting,11.46,11.46,https://doi.org/10.1016/j.jallcom.2021.160829,11.967213114737973,0.2178790532231825,2337562700.32239,3.68,2.6074050631591623,1.168781350161195,11600000000.0,0.16483997698218034,0.4817536741017153,0.8763066800438636
TiO2-11 wt%/PVDF,TiO2,11.0,Solution Casting,9.87,9.87,https://doi.org/10.1016/j.jallcom.2021.160829,12.773109243674178,0.22486151094076945,2479317434.5591655,3.56,2.8721806439440845,1.2396587172795828,15950000000.0,0.21152509480975668,0.6374239897486896,0.7705132427757893
TiO2-14 wt%/PVDF,TiO2,14.0,Solution Casting,8.63,8.63,https://doi.org/10.1016/j.jallcom.2021.160829,13.6206896551412,0.2320035855759709,2630650493.0857854,3.44,3.160048838010293,1.3153252465428926,20300000000.000004,0.2517073481042953,0.7705132427757893,0.6374239897486896
DA0.5@TiO2/PVDF,DA,0.5,Solution Casting,10.65,10.65,https://doi.org/10.1016/j.jallcom.2021.160829,9.962546816480959,0.19972739627491617,2002223455.4720507,3.98,1.989793535922697,1.0011117277360253,12500000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
DA1.0@TiO2/PVDF,DA,1.0,Solution Casting,12.73,12.73,https://doi.org/10.1016/j.jallcom.2021.160829,9.925187032422063,0.1994550405096185,2004449386.2004626,3.96,1.9796285816172825,1.0022246931002312,25000000.0,0.024385287749642992,0.06279051952931337,0.9980267284282716
DA1.5@TiO2/PVDF,DA,1.5,Solution Casting,14.68,14.68,https://doi.org/10.1016/j.jallcom.2021.160829,9.887920298883856,0.19918293200329928,2006677794.3142116,3.94,1.9695049565466258,1.0033388971571058,37500000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
DA2.0@TiO2/PVDF,DA,2.0,Solution Casting,19.57,19.57,https://doi.org/10.1016/j.jallcom.2021.160829,9.850746268662904,0.19891107041939918,2008908683.9514682,3.92,1.9594224847296406,1.0044543419757341,50000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
DA2.5@TiO2/PVDF,DA,2.5,Solution Casting,16.04,16.04,https://doi.org/10.1016/j.jallcom.2021.160829,9.813664596281008,0.19863945542196929,2011142059.259627,3.9,1.9493809910991196,1.0055710296298135,62500000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
P-G%0.0,G,0.0,Electro Spinning,17.0,17,https://doi.org/10.1002/pc.25225,10.0,0.19999999999996,1999999997.9999998,4.0,1.9999999999995999,0.9999999989999999,0.0,0.0,0.0,1.0
