piezo,Dopants,Dopants fr,Fabrication Method,d33,D33 (pC/N),ref,phi,Eff_Dielectric,Eff_Thermal,Eff_Youngs,Piezo_Base,Gamma_TE,Chi_Mech,S_imp,Delta_Beta,Fourier_sin,Fourier_cos
PVDF-TrFe,,,,4.32,4.32±1.0,,0.0,0.3333333333222222,0.19999999966666668,1999999997.9999998,4.0,0.06666666655333334,0.9999999989999999,0.0,0.0,0.0,1.0
PVDF-TrFe,,,,30.0,30,,0.0,0.3333333333222222,0.19999999966666668,1999999997.9999998,4.0,0.06666666655333334,0.9999999989999999,0.0,0.0,0.0,1.0
PVDF,,12.0,,12.0,12,https://doi.org/10.1016/j.cjph.2019.10.022,0.12,0.3333333333222222,0.19999999966666668,1999999997.9999998,3.52,0.06666666655333334,0.9999999989999999,240000000.0,0.2255941819529868,0.6845471059286886,0.7289686274214116
PVDF/ZrO2,ZrO2,12.2,DFT,12.2,12.2,https://doi.org/10.1016/j.cjph.2019.10.022,0.122,2.0262168100021185,0.2604292789119293,2546847032.7820234,3.6275789473663935,0.5276861827480813,1.2734235163910117,34160000000.0,0.2283245654627501,0.6936533058128049,0.7203090248879069
PVDF/2ZrO2,ZrO2,17.0,DFT,17.0,17,https://doi.org/10.1016/j.cjph.2019.10.022,0.17,2.818164472375155,0.2876790829571733,2805316517.028586,3.4810526315761217,0.8107269710353707,1.402658258514293,47600000000.0,0.2862925340256367,0.8763066800438637,0.48175367410171516
PVDF/3ZrO2,ZrO2,13.9,DFT,13.9,13.9,https://doi.org/10.1016/j.cjph.2019.10.022,0.139,2.302289330811083,0.26982975147928656,2635146571.124099,3.5756842105240056,0.6212261579661675,1.3175732855620494,38920000000.0,0.25046277600743205,0.7664930068093498,0.6422526531765843
PVDF/4.1%vol,PZT,4.1,Electro Spinning,11.82,11.82,https://doi.org/10.1016/j.ceramint.2020.03.210,0.040999999999999995,1.2582713603869002,0.21577934559603631,2162547219.270028,4.243647540983272,0.2715089707265197,1.081273609635014,3366099999.9999995,0.09267634179429274,0.2547707256833821,0.9670014877624351
PVDF/9.6%vol,PZT,9.6,Electro Spinning,14.89,14.89,https://doi.org/10.1016/j.ceramint.2020.03.210,0.096,3.108450296625752,0.2382978721819828,2402542059.6822047,4.570491803277906,0.74073709146937,1.2012710298411025,7881600000.0,0.19060830409692958,0.5672689491267565,0.8235325976284275
PVDF/17%vol,PZT,17.0,Electro Spinning,17.09,17.09,https://doi.org/10.1016/j.ceramint.2020.03.210,0.17,5.973273066713203,0.271328671138931,2772782085.9677296,5.010245901637959,1.6207202435412604,1.3863910429838648,13957000000.000002,0.2862925340256367,0.8763066800438637,0.48175367410171516
PVDF/39%vol,PZT,39.0,Electro Spinning,20.12,20.12,https://doi.org/10.1016/j.ceramint.2020.03.210,0.39,18.432332319065445,0.3933884294269517,4363859927.513133,6.317622950816495,7.251066261672797,2.1819299637565663,32019000000.0,0.42886296420674325,0.6374239897486899,-0.7705132427757891
